// Describes mapping from Unicode Code pointer to Character code in iso8859_15 (['Western Europe'])
// [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0x0 0xA4 0x0
0xA5 0x1 0xA5
0xA7 0x1 0xA7
0xA9 0xB 0xA9
0xB5 0x3 0xB5
0xB9 0x3 0xB9
0xBF 0x41 0xBF
0x152 0x2 0xBC
0x160 0x1 0xA6
0x161 0x1 0xA8
0x178 0x1 0xBE
0x17D 0x1 0xB4
0x17E 0x1 0xB8
0x20AC 0x1 0xA4
