// Describes mapping from Unicode Code pointer to Character code in cp869 (['Greek'])
// [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0x0 0x80 0x0
0xA0 0x1 0xFF
0xA3 0x1 0x9C
0xA6 0x1 0x8A
0xA7 0x1 0xF5
0xA8 0x1 0xF9
0xA9 0x1 0x97
0xAB 0x1 0xAE
0xAC 0x1 0x89
0xAD 0x1 0xF0
0xB0 0x1 0xF8
0xB1 0x1 0xF1
0xB2 0x2 0x99
0xB7 0x1 0x88
0xBB 0x1 0xAF
0xBD 0x1 0xAB
0x384 0x1 0xEF
0x385 0x1 0xF7
0x386 0x1 0x86
0x388 0x1 0x8D
0x389 0x2 0x8F
0x38C 0x1 0x92
0x38E 0x1 0x95
0x38F 0x1 0x98
0x390 0x1 0xA1
0x391 0x7 0xA4
0x398 0x2 0xAC
0x39A 0x4 0xB5
0x39E 0x2 0xBD
0x3A0 0x2 0xC6
0x3A3 0x7 0xCF
0x3AA 0x1 0x91
0x3AB 0x1 0x96
0x3AC 0x1 0x9B
0x3AD 0x3 0x9D
0x3B0 0x1 0xFC
0x3B1 0x3 0xD6
0x3B4 0x2 0xDD
0x3B6 0xC 0xE0
0x3C2 0x1 0xED
0x3C3 0x1 0xEC
0x3C4 0x1 0xEE
0x3C5 0x3 0xF2
0x3C8 0x1 0xF6
0x3C9 0x1 0xFA
0x3CA 0x1 0xA0
0x3CB 0x1 0xFB
0x3CC 0x2 0xA2
0x3CE 0x1 0xFD
0x2015 0x1 0x8E
0x2018 0x2 0x8B
0x2500 0x1 0xC4
0x2502 0x1 0xB3
0x250C 0x1 0xDA
0x2510 0x1 0xBF
0x2514 0x1 0xC0
0x2518 0x1 0xD9
0x251C 0x1 0xC3
0x2524 0x1 0xB4
0x252C 0x1 0xC2
0x2534 0x1 0xC1
0x253C 0x1 0xC5
0x2550 0x1 0xCD
0x2551 0x1 0xBA
0x2554 0x1 0xC9
0x2557 0x1 0xBB
0x255A 0x1 0xC8
0x255D 0x1 0xBC
0x2560 0x1 0xCC
0x2563 0x1 0xB9
0x2566 0x1 0xCB
0x2569 0x1 0xCA
0x256C 0x1 0xCE
0x2580 0x1 0xDF
0x2584 0x1 0xDC
0x2588 0x1 0xDB
0x2591 0x3 0xB0
0x25A0 0x1 0xFE
