// Describes mapping from Unicode Code pointer to Character code in iso8859_5 (['Bulgarian', 'Byelorussian', 'Macedonian', 'Russian', 'Serbian'])
// [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0x0 0xA1 0x0
0xA7 0x1 0xFD
0xAD 0x1 0xAD
0x401 0xC 0xA1
0x40E 0x42 0xAE
0x451 0xC 0xF1
0x45E 0x2 0xFE
0x2116 0x1 0xF0
