// Describes mapping from Unicode Code pointer to Character code in cp1256 (['Arabic'])
// [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0x0 0x80 0x0
0xA0 0x1 0xA0
0xA2 0x8 0xA2
0xAB 0xF 0xAB
0xBB 0x4 0xBB
0xD7 0x1 0xD7
0xE0 0x1 0xE0
0xE2 0x1 0xE2
0xE7 0x5 0xE7
0xEE 0x2 0xEE
0xF4 0x1 0xF4
0xF7 0x1 0xF7
0xF9 0x1 0xF9
0xFB 0x2 0xFB
0x152 0x1 0x8C
0x153 0x1 0x9C
0x192 0x1 0x83
0x2C6 0x1 0x88
0x60C 0x1 0xA1
0x61B 0x1 0xBA
0x61F 0x1 0xBF
0x621 0x16 0xC1
0x637 0x4 0xD8
0x640 0x4 0xDC
0x644 0x1 0xE1
0x645 0x4 0xE3
0x649 0x2 0xEC
0x64B 0x4 0xF0
0x64F 0x2 0xF5
0x651 0x1 0xF8
0x652 0x1 0xFA
0x679 0x1 0x8A
0x67E 0x1 0x81
0x686 0x1 0x8D
0x688 0x1 0x8F
0x691 0x1 0x9A
0x698 0x1 0x8E
0x6A9 0x1 0x98
0x6AF 0x1 0x90
0x6BA 0x1 0x9F
0x6BE 0x1 0xAA
0x6C1 0x1 0xC0
0x6D2 0x1 0xFF
0x200C 0x2 0x9D
0x200E 0x2 0xFD
0x2013 0x2 0x96
0x2018 0x2 0x91
0x201A 0x1 0x82
0x201C 0x2 0x93
0x201E 0x1 0x84
0x2020 0x2 0x86
0x2022 0x1 0x95
0x2026 0x1 0x85
0x2030 0x1 0x89
0x2039 0x1 0x8B
0x203A 0x1 0x9B
0x20AC 0x1 0x80
0x2122 0x1 0x99
